"","Rho","N","P","p.adj"
"clock.fas.ClipKIT",0.187093851556336,123,0.0117110817976112,0.240343119345748
"cry1a.fas.ClipKIT",0.103314153484302,111,0.186449181219981,0.617131938708569
"cry1b.fas.ClipKIT",0.0629954069692751,85,0.482056686904462,0.831481393624434
"cry2.fas.ClipKIT",0.129360084297825,123,0.0813545350620475,0.467918587790822
"cwo.fas.ClipKIT",0.153047801923548,112,0.0492878959403202,0.400880733706768
"cycle.fas.ClipKIT",0.258016582746259,122,0.000536395877850782,0.102256124742619
"period.fas.ClipKIT",0.315280095449889,137,7.23160750161351e-06,0.0116073637924068
"timeless.fas.ClipKIT",0.193915930542689,120,0.00987819081041095,0.23951938729208
"timeout.fas.ClipKIT",-0.102446399206847,114,0.184191259414931,0.617131938708569
"10001at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.230280951468105,127,0.00161353494591433,0.137023145098637
"10006at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0354639763315421,89,0.685345107312108,0.919314775462776
"1000at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.000825337912221731,102,0.991934110848552,0.99679774808533
"10013at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.00155865503703294,105,0.984541515586987,0.99574839934677
"10014at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0306215309684245,70,0.757073286808723,0.940221107023753
"10017at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0712709497862332,104,0.377963256046064,0.781843914173952
"10020at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0778700266434609,106,0.330710519947576,0.74320441823027
"10023at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.00909681244426417,86,0.91865710993859,0.985434157139791
"10025at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0977740315543317,114,0.205014201160447,0.639887112500103
"10029at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0221383051663522,104,0.784191229401619,0.947190764523075
"1003at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.018458631686968,91,0.831092086569436,0.96256097256935
"10043at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0975498177865137,109,0.216477176939828,0.653320241152416
"10056at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0782848134114462,85,0.382324723738403,0.782918988887807
"10057at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0643175880825155,65,0.531715932148942,0.849518883555684
"10059at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.239466434895863,82,0.00870012007919307,0.22555401613762
"1005at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0593287991422105,114,0.44186432441375,0.807581698078869
"10062at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.080530510246702,105,0.316792944992163,0.737320680078576
"10066at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.218659226580027,101,0.00770208853351588,0.218672339668951
"10067at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0226148466368289,101,0.782845236406795,0.947075333495752
"10068at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.150324324702965,100,0.0683382781586965,0.45010701651787
"10076at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.196806045064968,84,0.0290359750326422,0.338568620063769
"10079at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0655666051341365,100,0.42659421909347,0.801221567031773
"1007at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.11738343430618,94,0.167863648705542,0.594809874599249
"10082at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0318053245977311,113,0.681489037945509,0.917111447008451
"10086at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.100835724316366,98,0.226219037044065,0.665410050404389
"10087at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.164185516598332,115,0.0325386741592547,0.347509999023256
"10090at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0554048723560593,124,0.453524348066655,0.812586302959327
"10093at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.07291795461091,113,0.346720080629777,0.754092580175637
"10096at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.00563526341247902,72,0.953943332349325,0.989893007858338
"10097at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0838659217022415,76,0.376838003343512,0.781531952089955
"1009at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.00393382629538435,86,0.964774369343351,0.990253555926243
"10101at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.182587851979208,102,0.0253221485518965,0.317161548701959
"10102at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.170677676135074,91,0.0485767099875439,0.399690599090166
"10107at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.141650631820292,117,0.0628054978710315,0.433452611326142
"10109at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0411273653381635,97,0.623423671035799,0.898912770401591
"1010at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.0779295746977419,99,0.347161252680984,0.754576360439742
"10110at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.184922449049362,119,0.0142871786500594,0.249262189348937
"10114at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.138691275417864,104,0.0862212672819444,0.478243326827448
"10118at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",0.0857266227148084,108,0.279668140428735,0.714989003500655
"1011at7088_nostop.fas.aligned.fas.best.fas.ClipKIT",-0.149936640466418,106,0.0610854658959319,0.43223167896332
