Species,Scaffold,Start,Stop,Complement,Error,Gene,Query_start,Query_stop,Query_Length
Colias_behrii,JARWMC010000008.1,1558928,1559181,0,N,Zerene_cesonia_XM_038367126.1_Frame_0_rightoh_2_query_Exon_1,1,84,84
Colias_behrii,JARWMC010000008.1,1559434,1559617,0,N,Zerene_cesonia_XM_038367126.1_Frame_1_rightoh_0_query_Exon_2,1,61,61
Colias_behrii,JARWMC010000008.1,1559813,1559947,0,N,Zerene_cesonia_XM_038367126.1_Frame_0_rightoh_0_query_Exon_3,1,45,45
Colias_behrii,JARWMC010000008.1,1560362,1560618,0,N,Zerene_cesonia_XM_038367126.1_Frame_0_rightoh_2_query_Exon_4,1,85,85
Colias_behrii,JARWMC010000008.1,1560985,1561182,0,N,Zerene_cesonia_XM_038367126.1_Frame_1_rightoh_2_query_Exon_5,1,65,65
Colias_behrii,JARWMC010000008.1,1561744,1561926,0,N,Zerene_cesonia_XM_038367126.1_Frame_1_rightoh_2_query_Exon_6,1,60,60
Colias_behrii,JARWMC010000008.1,1562282,1562414,0,N,Zerene_cesonia_XM_038367126.1_Frame_1_rightoh_0_query_Exon_7,1,44,44
Colias_behrii,JARWMC010000008.1,1563176,1563330,0,N,Zerene_cesonia_XM_038367126.1_Frame_0_rightoh_2_query_Exon_8,1,51,51
Colias_behrii,JARWMC010000008.1,1563942,1564060,0,N,Zerene_cesonia_XM_038367126.1_Frame_1_rightoh_1_query_Exon_9,1,39,39
Colias_behrii,JARWMC010000008.1,1564960,1565113,0,N,Zerene_cesonia_XM_038367126.1_Frame_2_rightoh_2_query_Exon_10,2,50,50
Colias_behrii,JARWMC010000008.1,1580621,1580701,0,N,Zerene_cesonia_XM_038367126.1_Frame_1_rightoh_2_query_Exon_11,1,26,26
Colias_behrii,JARWMC010000008.1,1580924,1581033,0,N,Zerene_cesonia_XM_038367126.1_Frame_1_rightoh_1_query_Exon_12,1,35,36
Colias_behrii,JARWMC010000008.1,1581309,1581359,0,N,Zerene_cesonia_XM_038367126.1_Frame_2_rightoh_1_query_Exon_13,1,16,16
Colias_behrii,JARWMC010000008.1,1581824,1581893,0,N,Zerene_cesonia_XM_038367126.1_Frame_2_rightoh_2_query_Exon_14,1,22,22
Colias_behrii,JARWMC010000008.1,1584007,1584205,0,N,Zerene_cesonia_XM_038367126.1_Frame_1_rightoh_0_query_Exon_15,1,66,66
Colias_behrii,JARWMC010000008.1,1585379,1585527,0,N,Zerene_cesonia_XM_038367126.1_Frame_0_rightoh_2_query_Exon_16,1,48,49
Colias_behrii,JARWMC010000008.1,1595437,1595531,0,N,Zerene_cesonia_XM_038367126.1_Frame_1_rightoh_1_query_Exon_17,1,31,31
Colias_behrii,JARWMC010000008.1,1598619,1598819,0,N,Zerene_cesonia_XM_038367126.1_Frame_2_rightoh_1_query_Exon_18,1,66,66
Colias_behrii,JARWMC010000008.1,1603520,1603663,0,N,Zerene_cesonia_XM_038367126.1_Frame_2_rightoh_1_query_Exon_19,1,46,47
Colias_behrii,JARWMC010000008.1,1604973,1605158,0,N,Zerene_cesonia_XM_038367126.1_Frame_2_rightoh_1_query_Exon_20,14,58,58
Colias_behrii,JARWMC010000008.1,1607934,1608130,0,N,Zerene_cesonia_XM_038367126.1_Frame_2_rightoh_0_query_Exon_21,1,65,65
Colias_behrii,JARWMC010000008.1,1608483,1609197,0,N,Zerene_cesonia_XM_038367126.1_Frame_0_rightoh_1_query_Exon_22,1,192,193
Colias_behrii,JARWMC010000008.1,1609658,1609737,0,N,Zerene_cesonia_XM_038367126.1_Frame_2_rightoh_0_query_Exon_23,1,22,25

