"","Rho","N","P","p.adj"
"clock",0.148959341333041,123,0.0447557506932698,0.382464302090638
"cry1a",0.117646887719872,110,0.134256622130002,0.559266552366479
"cry1b",0.079870927389671,84,0.375650659679351,0.764001418854643
"cry2",0.112206309542884,123,0.13059343452746,0.555812466689961
"cwo",0.112385075775805,111,0.150674442478368,0.585240787717759
"cycle",0.231192952911435,122,0.00192225041151142,0.136956245458863
"period",0.275268715026007,139,7.93822706354694e-05,0.0378914456433202
"timeless",0.166153398616031,119,0.0277149770785291,0.312671639214106
"timeout",-0.140970530877902,114,0.0676503519667977,0.450116097292915
"10001at7088_nostop.fas.aligned.fas.best",0.186866791746071,126,0.0108129892328872,0.243966633845117
"10006at7088_nostop.fas.aligned.fas.best",-0.030930828244508,88,0.725323858442831,0.925402266223129
"1000at7088_nostop.fas.aligned.fas.best",-0.0671490118945214,102,0.410801534391365,0.787326546625967
"10013at7088_nostop.fas.aligned.fas.best",-0.0167746543504129,105,0.834819264530868,0.955309122365688
"10014at7088_nostop.fas.aligned.fas.best",-0.0158589253102094,70,0.872723162541229,0.967045633846265
"10017at7088_nostop.fas.aligned.fas.best",0.11180470351869,104,0.166641279580841,0.602624437471538
"10020at7088_nostop.fas.aligned.fas.best",0.0408256264296895,106,0.610081075063319,0.887880873889306
"10023at7088_nostop.fas.aligned.fas.best",-0.0411584419862758,89,0.638183503332346,0.897439044640642
"10025at7088_nostop.fas.aligned.fas.best",0.0697263392762446,115,0.363956651595851,0.75965564129892
"10029at7088_nostop.fas.aligned.fas.best",0.0179279396737283,103,0.825335644237132,0.954713014554187
"1003at7088_nostop.fas.aligned.fas.best",0.0123979181032701,90,0.886717445907248,0.971288148871802
"10043at7088_nostop.fas.aligned.fas.best",-0.0734618648249653,108,0.354238643385739,0.753297372026326
"10056at7088_nostop.fas.aligned.fas.best",-0.0976975462429961,84,0.278509524273377,0.705372927024775
"10057at7088_nostop.fas.aligned.fas.best",-0.138004735655064,66,0.176221800441294,0.607473491566481
"10059at7088_nostop.fas.aligned.fas.best",0.217913903105529,82,0.0169640171762058,0.278192576228962
"1005at7088_nostop.fas.aligned.fas.best",-0.0148180797470875,114,0.847680186159923,0.960613248600881
"10062at7088_nostop.fas.aligned.fas.best",-0.108920367964509,105,0.175741896546799,0.607192901825713
"10066at7088_nostop.fas.aligned.fas.best",0.173992184967544,101,0.0339648493621294,0.341036919160851
"10067at7088_nostop.fas.aligned.fas.best",-0.0264594044754694,101,0.747098360978372,0.931180925549093
"10068at7088_nostop.fas.aligned.fas.best",-0.212236909782439,99,0.0104570623761483,0.243966633845117
"10076at7088_nostop.fas.aligned.fas.best",-0.134900809685803,83,0.136964583380451,0.561997406312427
"10079at7088_nostop.fas.aligned.fas.best",-0.00240035767994345,100,0.976780265595257,0.995003991256938
"1007at7088_nostop.fas.aligned.fas.best",-0.141323533218611,93,0.0986729894647713,0.495877922467658
"10082at7088_nostop.fas.aligned.fas.best",-0.0654483254547155,113,0.398346266659786,0.778636614450741
"10086at7088_nostop.fas.aligned.fas.best",0.0186708371038318,98,0.82270002011501,0.953097194374378
"10087at7088_nostop.fas.aligned.fas.best",0.0973011248270672,116,0.20320521716362,0.634461098124935
"10090at7088_nostop.fas.aligned.fas.best",-0.0346432512719497,124,0.639301282552754,0.897960692993125
"10093at7088_nostop.fas.aligned.fas.best",-0.0608196868725843,112,0.43462261725513,0.804999461499815
"10096at7088_nostop.fas.aligned.fas.best",-0.0233105932860191,72,0.811175959529857,0.951686114917321
"10097at7088_nostop.fas.aligned.fas.best",0.0887463897196876,76,0.349703111833978,0.75064043026906
"1009at7088_nostop.fas.aligned.fas.best",-0.0257213493181402,87,0.771453829217232,0.940121010762394
"10101at7088_nostop.fas.aligned.fas.best",0.161872663053175,102,0.0473987581248721,0.388868658940851
"10102at7088_nostop.fas.aligned.fas.best",-0.11508587666378,91,0.183554540264372,0.615415991428746
"10107at7088_nostop.fas.aligned.fas.best",0.134747862241884,117,0.076744000475676,0.457362224477594
"10109at7088_nostop.fas.aligned.fas.best",-0.0168877233596008,97,0.840216867946269,0.957047421724993
"1010at7088_nostop.fas.aligned.fas.best",-0.0600632191535118,99,0.46871124008143,0.821817828313086
"10110at7088_nostop.fas.aligned.fas.best",0.148349071606853,119,0.0493661947519327,0.39577855149136
"10114at7088_nostop.fas.aligned.fas.best",-0.13124899978281,104,0.104458633222371,0.50300013087341
"10118at7088_nostop.fas.aligned.fas.best",0.11235098643371,107,0.15850483663882,0.591521509277411
"1011at7088_nostop.fas.aligned.fas.best",-0.164440920474591,106,0.0399707560989964,0.367013418106641
"10121at7088_nostop.fas.aligned.fas.best",-0.0454475796958745,87,0.60778063100509,0.887636822332772
"10124at7088_nostop.fas.aligned.fas.best",0.00821331315697241,113,0.915591268695794,0.97939352581054
"10125at7088_nostop.fas.aligned.fas.best",-0.0939625498686059,95,0.267034757953881,0.696358020107937
"10127at7088_nostop.fas.aligned.fas.best",-0.114521758000009,85,0.201246664080043,0.633805967924754
"10139at7088_nostop.fas.aligned.fas.best",0.112827468785693,110,0.15095140860189,0.585240787717759
"1013at7088_nostop.fas.aligned.fas.best",-0.0939924809022797,95,0.266882421039412,0.696358020107937
"10142at7088_nostop.fas.aligned.fas.best",0.0773815853965406,118,0.307345812454274,0.725353859500651
"10145at7088_nostop.fas.aligned.fas.best",0.0676334791439622,105,0.400489230455423,0.77992679444616
"10146at7088_nostop.fas.aligned.fas.best",-0.0626724111015533,102,0.442694162740567,0.809210967952224
"10149at7088_nostop.fas.aligned.fas.best",-0.0517021219700389,101,0.528624300983157,0.854721170599185
"1014at7088_nostop.fas.aligned.fas.best",0.0584586765990825,94,0.492200875053289,0.836686574886049
"10150at7088_nostop.fas.aligned.fas.best",0.00379048569205223,120,0.959777607362726,0.990381172979152
"10151at7088_nostop.fas.aligned.fas.best",0.105064130133248,54,0.353290528036662,0.752794340430061
"10153at7088_nostop.fas.aligned.fas.best",-0.0723209105747181,114,0.34852254915626,0.75064043026906
"10157at7088_nostop.fas.aligned.fas.best",-0.0112172573402575,96,0.894025595585981,0.973220050540067
"10160at7088_nostop.fas.aligned.fas.best",-0.0970403464661655,111,0.214632132019971,0.648435872745067
"10163at7088_nostop.fas.aligned.fas.best",0.0455133690155196,119,0.546516851627725,0.862949558845639
"10164at7088_nostop.fas.aligned.fas.best",-0.05185145670432,104,0.521245308114815,0.853097680479225
"10173at7088_nostop.fas.aligned.fas.best",0.0538796435319327,107,0.498885877151661,0.842722595883312
"10174at7088_nostop.fas.aligned.fas.best",-0.316471589279249,100,0.000124342963169942,0.0378914456433202
"10178at7088_nostop.fas.aligned.fas.best",0.10921949732335,100,0.18538689533865,0.616765452316361
"10179at7088_nostop.fas.aligned.fas.best",-0.0182157110639398,89,0.835137880764229,0.955309122365688
"10180at7088_nostop.fas.aligned.fas.best",0.153593113799338,86,0.0846511143011491,0.474463026657107
"10181at7088_nostop.fas.aligned.fas.best",0.103541848476467,95,0.22130289400198,0.657795316129881
"10183at7088_nostop.fas.aligned.fas.best",0.0337754467192016,97,0.686777432953822,0.915236048405807
"10186at7088_nostop.fas.aligned.fas.best",-0.0601399175042312,78,0.520726749240961,0.853097680479225
"10188at7088_nostop.fas.aligned.fas.best",0.0627578982358857,83,0.489023124408863,0.833315228918825
"10189at7088_nostop.fas.aligned.fas.best",0.118561211220141,91,0.170671415216814,0.606773913276227
"10192at7088_nostop.fas.aligned.fas.best",0.00519038095554216,98,0.950330996269342,0.987584527748817
"10193at7088_nostop.fas.aligned.fas.best",0.109963031075056,101,0.180197062475803,0.612193406161704
"10206at7088_nostop.fas.aligned.fas.best",0.158020146153123,87,0.0743364163533832,0.453218380814631
"10208at7088_nostop.fas.aligned.fas.best",-0.00545923377998788,92,0.949417615152813,0.987584527748817
"1020at7088_nostop.fas.aligned.fas.best",0.0376678085588321,98,0.65122485070367,0.900888042995589
"10212at7088_nostop.fas.aligned.fas.best",-0.0883185127514469,103,0.276959534503852,0.703714303622627
"10214at7088_nostop.fas.aligned.fas.best",-0.152614981471948,97,0.0684531580878173,0.450762776824025
"10215at7088_nostop.fas.aligned.fas.best",0.0908141029283423,111,0.245516308963111,0.681147439495341
